id,city,lat,lng,country,population
0,Tokyo,35.687,139.7495,Japan,37785000.0
1,Jakarta,-6.175,106.8275,Indonesia,33756000.0
2,Delhi,28.61,77.23,India,32226000.0
3,Guangzhou,23.13,113.26,China,26940000.0
4,Mumbai,19.0761,72.8775,India,24973000.0
5,Manila,14.5958,120.9772,Philippines,24922000.0
6,Shanghai,31.2286,121.4747,China,24073000.0
7,São Paulo,-23.5504,-46.6339,Brazil,23086000.0
8,Seoul,37.5667,126.9833,"Korea, South",23016000.0
9,Mexico City,19.4333,-99.1333,Mexico,21804000.0
10,Kolkāta,22.5675,88.37,India,21747000.0
11,Cairo,30.0444,31.2358,Egypt,20296000.0
12,Karachi,24.86,67.01,Pakistan,20249000.0
13,Dhaka,23.7289,90.3944,Bangladesh,19134000.0
14,New York,40.6943,-73.9249,United States,18832416.0
15,Beijing,39.9067,116.3975,China,18522000.0
16,Bangkok,13.7525,100.4942,Thailand,18007000.0
17,Shenzhen,22.5415,114.0596,China,17619000.0
18,Moscow,55.7506,37.6175,Russia,17332000.0
19,Buenos Aires,-34.6036,-58.3814,Argentina,16710000.0
20,Lagos,6.455,3.3841,Nigeria,16637000.0
21,Bangalore,12.9789,77.5917,India,15386000.0
22,Ho Chi Minh City,10.7756,106.7019,Vietnam,15136000.0
23,Ōsaka,34.6939,135.5022,Japan,15126000.0
24,Chengdu,30.66,104.0633,China,14645000.0
25,Istanbul,41.0136,28.955,Turkey,14441000.0
26,Tehran,35.6889,51.3897,Iran,14148000.0
27,Kinshasa,-4.3219,15.3119,Congo (Kinshasa),12836000.0
28,Rio de Janeiro,-22.9111,-43.2056,Brazil,12592000.0
29,Chennai,13.0825,80.275,India,12395000.0
30,Xi’an,34.2611,108.9422,China,12328000.0
31,Lahore,31.5497,74.3436,Pakistan,12306000.0
32,Chongqing,29.5637,106.5504,China,12135000.0
33,Los Angeles,34.1141,-118.4068,United States,11885717.0
34,London,51.5072,-0.1275,United Kingdom,11262000.0
35,Paris,48.8567,2.3522,France,11060000.0
36,Linyi,35.1038,118.3564,China,10820000.0
37,Hyderābād,17.3617,78.4747,India,10494000.0
38,Lima,-12.06,-77.0375,Peru,10320000.0
39,Nagoya,35.1833,136.9,Japan,9197000.0
40,Luanda,-8.8383,13.2344,Angola,9051000.0
41,Kuala Lumpur,3.1686,101.698,Malaysia,8911000.0
42,Hanoi,21.0,105.85,Vietnam,8587100.0
43,Chicago,41.8375,-87.6866,United States,8489066.0
44,Pune,18.5203,73.8567,India,8231000.0
45,Bogotá,4.7111,-74.0722,Colombia,8034649.0
46,Ahmedabad,23.0225,72.5714,India,8009000.0
47,Dar es Salaam,-6.8161,39.2803,Tanzania,7962000.0
48,Khartoum,15.6031,32.5265,Sudan,7869000.0
49,Johannesburg,-26.2044,28.0456,South Africa,7860781.0
50,Hong Kong,22.3,114.2,Hong Kong,7450000.0
51,Riyadh,24.65,46.71,Saudi Arabia,7237000.0
52,Santiago,-33.4372,-70.6506,Chile,7171000.0
53,Rangoon,16.795,96.16,Burma,6874000.0
54,Surabaya,-7.2458,112.7378,Indonesia,6556000.0
55,Sūrat,21.205,72.84,India,6538000.0
56,Madrid,40.4169,-3.7033,Spain,6211000.0
57,Baghdad,33.3153,44.3661,Iraq,6183000.0
58,Miami,25.784,-80.2101,United States,6113982.0
59,Houston,29.786,-95.3885,United States,6046392.0
60,Singapore,1.3,103.8,Singapore,5983000.0
61,Prayagraj,25.4358,81.8464,India,5954391.0
62,Ankara,39.93,32.85,Turkey,5864049.0
63,Dallas,32.7935,-96.7667,United States,5843632.0
64,Douala,4.05,9.7,Cameroon,5768400.0
65,Addis Ababa,9.03,38.74,Ethiopia,5704000.0
66,Philadelphia,40.0077,-75.1339,United States,5696588.0
67,Toronto,43.7417,-79.3733,Canada,5647656.0
68,Giza,29.987,31.2118,Egypt,5598402.0
69,Saint Petersburg,59.9375,30.3086,Russia,5597763.0
70,Nairobi,-1.2864,36.8172,Kenya,5545000.0
71,Guadalajara,20.6767,-103.3475,Mexico,5525000.0
72,Belo Horizonte,-19.9281,-43.9419,Brazil,5328000.0
73,Monterrey,25.6844,-100.3181,Mexico,5324281.0
74,Atlanta,33.7628,-84.422,United States,5211164.0
75,Washington,38.9047,-77.0163,United States,5146120.0
76,Melbourne,-37.8142,144.9631,Australia,5031195.0
77,Abidjan,5.3364,-4.0267,Côte d’Ivoire,4980000.0
78,Alexandria,31.1975,29.8925,Egypt,4870000.0
79,Sydney,-33.8667,151.2,Australia,4840600.0
80,Barcelona,41.3833,2.1833,Spain,4800000.0
81,Cape Town,-33.9253,18.4239,South Africa,4770313.0
82,Jeddah,21.5428,39.1728,Saudi Arabia,4697000.0
83,Berlin,52.52,13.405,Germany,4679500.0
84,Belāhi,26.4,86.25,India,4487379.0
85,Boston,42.3188,-71.0852,United States,4355184.0
86,Kabul,34.5253,69.1783,Afghanistan,4273156.0
87,Bamako,12.6458,-7.9922,Mali,4227569.0
88,Kano,12.0,8.5167,Nigeria,4224966.0
89,Fortaleza,-3.7275,-38.5275,Brazil,4167996.0
90,Phoenix,33.5722,-112.0892,United States,4065338.0
91,Amman,31.9497,35.9328,Jordan,4007526.0
92,Kumasi,6.7,-1.625,Ghana,3903480.0
93,Abuja,9.0667,7.4833,Nigeria,3770000.0
94,Yokohama,35.4442,139.6381,Japan,3757630.0
95,Detroit,42.3834,-83.1024,United States,3716929.0
96,Mashhad,36.3264,59.5433,Iran,3700000.0
97,Montréal,45.5089,-73.5617,Canada,3675219.0
98,Medan,3.5894,98.6739,Indonesia,3632000.0
99,Seattle,47.6211,-122.3244,United States,3555253.0
100,Ibadan,7.3964,3.9167,Nigeria,3552000.0
101,Nādampālaiyam,11.0125,76.9714,India,3458045.0
102,Busan,35.18,129.075,"Korea, South",3453198.0
103,Lucknow,26.85,80.95,India,3382000.0
104,San Francisco,37.7558,-122.4449,United States,3364862.0
105,Boankra,6.6919,-1.4051,Ghana,3348000.0
106,Dubai,25.2631,55.2972,United Arab Emirates,3331420.0
107,Kannankulam,10.52,76.21,India,3243170.0
108,Caracas,10.4806,-66.9036,Venezuela,3242000.0
109,Kotla Qasim Khan,32.5833,73.75,Pakistan,3219375.0
110,Casablanca,33.5333,-7.5833,Morocco,3215935.0
111,Faisalabad,31.4167,73.0911,Pakistan,3203846.0
112,Santa Cruz de la Sierra,-17.7892,-63.1975,Bolivia,3151676.0
113,Bursa,40.1833,29.05,Turkey,3101833.0
114,Tashkent,41.3111,69.2797,Uzbekistan,3095498.0
115,Guayaquil,-2.19,-79.8875,Ecuador,3094420.0
116,Jaipur,26.9,75.8,India,3073350.0
117,Ouagadougou,12.3686,-1.5275,Burkina Faso,3063271.0
